"id","year","as_cafe","ac_cafe","p_cafe"
5001,2007,1078,1027,821.6
5001,2008,1078,1027,821.6
5001,2009,1078,1027,800
5001,2010,1078,1078,862.4
5001,2011,1081,1058,846.4
5001,2012,1087,1077,861.6
5001,2013,625,534,267.4939
5002,2007,4067,3819,2329.3999
5002,2008,4180,3956,2223.3
5002,2009,4180,3956,2223.6001
5002,2010,4052,3665,2528.8999
5002,2011,3959,3290,1500
5002,2012,3701,3000,2398.1201
5002,2013,3713,3050,1717.4594
5004,2007,135,135,81
5004,2008,137,132,89.6
5004,2009,133,128,86
5004,2010,146,130,87
5004,2011,148,114,96.18
5004,2012,154,136,117.39
5004,2013,137,111,62.5542
5021,2007,739,733,732.6
5021,2008,752,706,705.5
5021,2009,750,716,358.3
5021,2010,750,582,872.3
5021,2011,709,640,768
5021,2012,721,446,535.704
5021,2013,799,654,491.1488
5030,2007,832,785,570
5030,2008,672,578,346.7
5030,2009,671,553,327
5030,2010,674,585,760.6
5030,2011,656,635,952.95
5030,2012,666,635,476.475
5030,2013,792,683,512.982
5031,2007,1552,1432,1439.2
5031,2008,1695,1392,1304.3
5031,2009,1600,1270,1143
5031,2010,1801,1518,1365.8
5031,2011,1926,1454,1308.15
5031,2012,1994,1426,1283.4
5031,2013,1999,1590,895.1283
5034,2007,8696,8484,13574.4004
5034,2008,8696,8484,13574.4004
5034,2009,8708,8496,13593.5996
5034,2010,8713,8398,13436.7998
5034,2011,9800,5490,7137
5034,2012,11012,7012,5259
5034,2013,10959,8401,6832.667
5036,2007,600,600,480
5036,2008,630,497,398
5036,2009,607,587,293.5
5036,2010,722,662,288.5
5036,2011,635,615,307.5
5036,2012,638,578,289
5036,2013,324,257,128.0397
5038,2007,1240,1180,1180
5038,2008,1240,1180,1180
5038,2009,1240,1180,1180
5038,2010,1310,1170,1170
5038,2011,1355,1100,1380
5038,2012,1355,1100,1300
5038,2013,1064,920,748.0503
5040,2007,214,194,217.3
5040,2008,234,234,262.1
5040,2009,244,234,262.1
5040,2010,294,234,257.4
5040,2011,359,244,268.4
5040,2012,350,300,330
5040,2013,313,251,172.8835
5042,2007,1524,1407,1896
5042,2008,1564,1407,1850
5042,2009,1810,1590,1600
5042,2010,1810,1810,2624.5
5042,2011,1800,1600,1700
5042,2012,2155,1389,1041.75
5042,2013,2277,1765,1656.5771
5044,2007,1200,1140,1311
5044,2008,1436,1100,1012
5044,2009,1436,1236,506.8
5044,2010,1530,956,430.2
5044,2011,1540,904,406.62
5044,2012,1706,1263,1516
5044,2013,1932,1627,1119.6204
5055,2007,1800,1800,1800
5055,2008,2003,1793,1075.8
5055,2009,2115,1843,1382.3
5055,2010,2100,1768,990.1
5055,2011,2050,1600,900
5055,2012,2060,2060,1545
5055,2013,1494,1270,900.4245
5059,2007,788,769,864.8
5059,2008,788,788,886.2
5059,2009,788,788,886.2
5059,2010,788,788,886.2
5059,2011,800,650,620
5059,2012,830,681,510.75
5059,2013,718,600,450.6523
5079,2007,1131,711,924.3
5079,2008,1443,1287,1293.6
5079,2009,1455,1403,1263
5079,2010,1506,1367,1367
5079,2011,1464,1310,1620
5079,2012,1382,1271,1270.7
5079,2013,1364,1158,724.4189
5088,2007,208,202,181.8
5088,2008,208,208,187.2
5088,2009,211,208,187.2
5088,2010,211,208,187.2
5088,2011,211,208,187.2
5088,2012,214,214,192.6
5088,2013,161,130,81.3426
5091,2007,5439,5439,5482
5091,2008,6700,6290,5346.5
5091,2009,6750,6550,6188
5091,2010,6796,6346,7932.5
5091,2011,6796,6396,7995
5091,2012,6796,6396,4797
5091,2013,7240,5641,6352.7222
5093,2007,4845,4532,4826
5093,2008,5156,4771,4823
5093,2009,5470,4396,4275
5093,2010,5610,4636,4636
5093,2011,5760,5172,10344
5093,2012,5855,5287,3965.25
5093,2013,6509,5168,7114.1567
5101,2007,9680,8510,9935
5101,2008,9880,7100,7721
5101,2009,9942,6830,7172
5101,2010,10142,7040,10560
5101,2011,10528,7214,8656.7998
5101,2012,10990,7924,5943
5101,2013,11253,8950,10079.7871
5107,2007,310,60,52.8
5107,2008,577,445,413.9
5107,2009,612,411,493.2
5107,2010,682,506,632
5107,2011,662,542,526
5107,2012,607,482,460
5107,2013,716,612,421.3529
5113,2007,906,856,719.1
5113,2008,916,816,507.6
5113,2009,879,749,465.9
5113,2010,881,823,1152.2
5113,2011,1073,142,198.8
5113,2012,993,993,794.4
5113,2013,934,791,495.1381
5125,2007,1299,1195,1193
5125,2008,1378,1220,1230
5125,2009,1378,1303,1225
5125,2010,1388,968,464.6
5125,2011,1391,1130,920
5125,2012,1694,1439,1079.61
5125,2013,2251,1747,1366.0382
5129,2007,230,230,214
5129,2008,230,220,242
5129,2009,230,220,264
5129,2010,236,188,225.6
5129,2011,236,198,237.6
5129,2012,236,204,153
5129,2013,175,125,78.4458
5134,2007,250,248,225.7
5134,2008,235,223,202.9
5134,2009,281,209,146.3
5134,2010,289,211,232.1
5134,2011,250,194,193.9
5134,2012,250,194,213.29
5134,2013,319,241,150.6724
5138,2007,2545,2447,1174.6
5138,2008,2560,2397,958.8
5138,2009,2560,2270,1271.2
5138,2010,2525,2222,1666.5
5138,2011,2687,2000,1300
5138,2012,3211,2206,1654.5
5138,2013,2918,2571,2895.8652
5142,2007,35,35,16.8
5142,2008,37,35,16.8
5142,2009,40,37,17.8
5142,2010,40,28,14
